"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
973984,"Data Analyst - HoYolab and Content Creator","Canada","Full-time","100500.0","2023-07-05 22:11:52","HoYoverse"
1012,"Product Data Analyst - Gaming Analytics","Paris, France","Full-time","100500.0","2023-06-09 16:20:24","Homa Games"
452146,"Data Analyst","Edmonton, AB, Canada","Full-time","100500.0","2023-05-31 12:15:15","ATB Financial"
1232872,"Analytics Lab Architect","Canada","Full-time","101014.0","2023-12-24 08:20:10","Swiss Re"
827579,"Data Analyst - Game Operations","Canada","Full-time","105000.0","2023-07-06 14:10:17","HoYoverse"
1591043,"Data Analyst, End to End Banking Operations","Edmonton, AB, Canada","Full-time","105000.0","2023-06-30 06:13:33","ATB Financial"
807327,"Data Analyst - @ Data Centre of Excellence","Paris, France","Full-time","105000.0","2023-06-20 22:24:57","AccorCorpo"
772086,"Director Data Analysis & Strategic Projects (M/F)","Issy-les-Moulineaux, France","Full-time","105300.0","2023-06-22 12:20:02","AccorCorpo"
915736,"Finance Master Data Manager (H/F)","Cluses, France","Full-time","105650.0","2023-01-20 10:38:13","SOMFY Group"
993485,"Apprenti(e) DATA Manager F/H/D","Drancy, France","Full-time","105650.0","2023-04-18 08:43:42","Bosch Group"
629221,"Analytics Engineering Lead","Canada","Full-time","108415.5","2023-11-27 11:52:42","Swiss Re"
409209,"Data Analyst (VBA, Tableau)","Canada","Full-time","109000.0","2023-11-09 19:11:57","Sun Life"
427074,"Data Analyst Product","Paris, France","Full-time","111175.0","2023-09-01 08:36:38","Aircall"
85219,"BI & Data Analyst - Team Performance Dashboard (f/m/x)","Paris, France","Full-time","111175.0","2023-04-24 13:21:26","Adevinta"
1295896,"Product Data Analyst -  F/H","Paris, France","Full-time","111175.0","2023-06-13 14:19:17","Adevinta"
155735,"Data Analyst","Paris, France","Full-time","111175.0","2023-07-20 22:48:05","Voodoo"
205303,"Data Analyst, Risk User Experience","Canada","Full-time","111175.0","2023-09-04 07:16:18","Stripe"
210254,"Data Analyst","Bezons, France","Full-time","111175.0","2023-04-17 12:21:59","Nielsen"
1292435,"Data Analyst (H/F) - CDI","Paris, France","Full-time","111175.0","2023-08-31 06:45:20","Publicis Groupe"
673969,"Data Analyst Manager","Montrouge, France","Full-time","111175.0","2023-02-20 14:49:53","Binance"
1034952,"Product Data Analyst (F/M/X)","Nantes, France","Full-time","111175.0","2023-03-11 00:39:40","iAdvize"
1502899,"Sustainability Sourcing Data Analyst","Cesson-Sévigné, France","Full-time","111175.0","2023-02-14 13:29:49","Vantiva"
126075,"Business/data analyst","Paris, France","Full-time","111175.0","2023-06-06 15:21:03","Business & Decision"
1180796,"Data Analyst, Growth","Canada","Full-time","111175.0","2023-04-12 18:31:14","Stripe"
155170,"Data Analyst","France","Full-time","111175.0","2023-02-09 07:32:08","Contentsquare"
86553,"Data analyst (h/f) en CDI à Paris","Paris, France","Full-time","111175.0","2023-04-20 20:13:46","Sewan"
887067,"Data Analyst Senior F/H","Paris, France","Full-time","111202.0","2023-01-14 21:13:04","EPSA"
452745,"Security Data Analyst","Montrouge, France","Full-time","111202.0","2023-01-02 15:32:49","Binance"
465918,"Data Architect","Lyon, France","Full-time","163782.0","2023-07-27 07:46:04","ARCHIMED"
21632,"Research Engineer - Physics (H/F)","Issy-les-Moulineaux, France","Full-time","200000.0","2023-02-01 09:52:36","Withings"
