"skill_id","skills","demand_count","salary_avg"
63,"cassandra","1","111175"
76,"aws","1","111175"
93,"pandas","1","111175"
8,"go","1","111175"
98,"kafka","2","100138"
1,"python","3","96758"
4,"java","1","90000"
105,"gdpr","1","90000"
124,"selenium","1","90000"
215,"flow","1","90000"
