"job_id","job_title","salary_year_avg","company_name","skills"
409209,"Data Analyst (VBA, Tableau)","109000.0","Sun Life","excel"
409209,"Data Analyst (VBA, Tableau)","109000.0","Sun Life","tableau"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","sql"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","python"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","spark"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","hadoop"
1180796,"Data Analyst, Growth","111175.0","Stripe","sql"
1180796,"Data Analyst, Growth","111175.0","Stripe","python"
1180796,"Data Analyst, Growth","111175.0","Stripe","spark"
1180796,"Data Analyst, Growth","111175.0","Stripe","hadoop"
